2024-06-29T10:05:57.9691404+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:57.9691810+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0390782+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0391771+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0394793+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0401174+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0401994+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0403706+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0404656+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0405277+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0408125+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0412035+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0412438+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0413097+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0419527+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0419889+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0421141+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0429309+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0430152+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0431938+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0438784+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.0439507+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.0440359+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9559861+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetConnectionId: fcHwgMRekC63SpaSUwb0tg
2024-06-29T10:05:58.9561252+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal targetUser: {"Username":"admin","ConnectionId":"fcHwgMRekC63SpaSUwb0tg","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
2024-06-29T10:05:58.9563440+07:00	INFO	[ONE_WEB.Hubs.ConnectionHub]	[0]	SendSignal callingUser: {"Username":"sunt","ConnectionId":"M3NYySy9IQz1S3mYjTyM6A","InCall":true,"IsVideo":true,"IsShareScreen":false,"ShareConnectionId":null}
